"q1","q2","q3","q4","q5_a","q5_b","q5_c","q5_d","Q6_a","Q6_b","q7_a","q7_b","q7_c","q7_d","q7_e","q7_f","q7_g","q7_h","q7_i","q7_j","q7_k","q8","q9_a","q9_b","q9_c","q10","q11_a","q11_b","q11_c","q11_d","q11_e","q12","q13","q14_a","q14_b","q14_c","q15","q16","q17_a","q17_b","q17_c","q17_d","q17_e","q17_f","q18","q19_a","q19_b","q19_c","q19_e","q19_f","q19_g","q19_h","q20","q21","q22","q23","q24","q25_a","q25_b","q25_c","q26_a","q26_b","q26_c","q27_a","q27_b","q28","q29_a","q29_b","q29_c","q30","q31","q32"
5,5,2,,1,0,0,0,,4,9,5,4,4,5,5,4,9,9,4,9,5,5,9,4,5,,,,,,,,3,,,,,,,,,,,,5,,,,5,4,3,4,9,3,5,1,3,4,4,,,,2,2,2,4,4,5,,,
3,5,3,1,0,1,0,1,5,,4,9,9,5,,9,9,9,9,9,9,4,3,9,4,4,4,4,5,9,3,4,,,3,2,9,9,,,,,,,,,,2,,,,4,4,4,5,4,,,,,,9,,3,,3,,,,,,9
2,2,4,1,0,1,0,0,5,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,,,2,2,2,2,,,,,,,,,,3,2,,,2,4,2,2,3,,,,,,3,,3,,3,,,,,,5
5,4,3,0,0,1,0,0,9,9,9,9,9,9,9,9,9,5,9,5,9,5,5,9,9,3,5,9,5,9,3,9,,,9,9,9,4,9,9,9,9,9,9,9,,,5,5,,,5,5,5,5,4,,,,,,9,,5,,5,,,,,3,5
5,2,4,1,0,1,0,0,4,,4,5,9,9,9,9,9,4,9,4,5,4,2,2,3,2,4,9,9,9,9,4,,,1,5,9,9,,,,,,,,,,9,2,,,3,3,2,3,3,,,,,,9,,4,,4,,,,,,4
4,4,4,1,0,1,0,1,5,,9,5,9,9,4,9,9,9,9,5,5,5,5,5,4,4,4,4,4,9,9,5,,,4,9,9,4,,,,,,,,,,5,5,,,5,5,5,5,4,,,,,,5,,4,,4,,,,,,5
2,5,3,1,0,1,0,1,5,,9,5,9,9,4,5,9,4,9,5,9,5,5,9,5,5,4,4,4,9,9,9,,,5,9,9,9,,,,,,,,,,4,4,,,4,4,4,4,9,,,,,,9,,1,,2,,,,,,5
2,5,3,0,0,1,0,1,9,3,9,5,5,9,9,9,9,3,9,4,5,5,4,9,4,4,3,5,4,9,9,5,,,,,5,4,9,9,9,9,9,9,9,,,4,2,,,5,4,4,5,9,,,,,,9,,2,,3,,,,,5,3
4,5,2,0,1,0,0,0,9,,4,9,4,9,3,9,5,2,5,2,9,5,3,9,9,3,9,9,9,9,9,9,,,9,9,9,9,,,,,,,,,,2,5,,,3,3,3,5,5,,,,,,9,,1,,2,,,,,,9
5,5,3,0,0,1,0,0,5,,5,9,9,9,4,9,9,5,5,5,9,5,5,9,5,,4,5,5,9,5,5,,,5,5,5,5,,,,,,,,,,5,5,,,5,5,5,3,4,,,,,,9,,4,,5,,,,,,5
4,5,3,0,1,1,1,1,4,9,9,5,5,9,4,9,9,4,9,5,5,5,5,9,5,9,5,5,4,9,9,5,,,9,9,5,5,9,9,9,9,9,9,9,,,4,5,,,4,5,5,5,5,,,,,,5,,4,,4,,,,,5,5
5,5,3,0,0,1,0,1,5,,5,9,9,9,9,9,9,5,9,5,9,5,9,9,5,5,5,5,5,9,5,5,,,9,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,4,,1,1,1,1,,3,5,5,9,5,5,5,5,5,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,4,0,0,1,1,1,9,4,9,9,9,9,4,5,3,2,9,2,5,5,3,3,4,3,9,9,9,5,9,4,,,9,9,9,4,9,9,9,9,9,9,9,,,4,3,,,4,,3,5,4,,,,,,9,,4,,4,,,,,5,5
4,5,3,0,0,1,0,1,4,,9,9,9,9,9,9,9,2,9,4,9,4,3,4,9,4,9,9,4,9,9,4,,,3,3,3,3,,,,,,,,,,4,4,,,4,4,4,4,4,,,,,,9,,3,,3,,,,,,3
4,4,3,0,0,1,0,0,4,1,9,5,4,9,9,5,9,4,9,5,5,4,3,9,4,3,9,9,4,9,9,4,,,9,9,9,4,9,9,9,9,9,9,9,,,4,2,,,3,3,3,4,2,,,,,,9,,4,,4,,,,,9,4
5,3,3,0,1,0,0,0,5,5,5,9,9,9,4,9,5,,5,5,9,5,5,9,5,5,5,5,9,9,9,9,,,9,9,9,5,9,9,9,9,9,9,9,,,4,5,,,5,,5,9,5,,,,,,5,,5,,5,,,,,9,5
5,5,5,,0,1,0,0,,5,5,5,9,5,5,9,5,5,5,5,5,5,5,9,5,5,5,5,9,5,5,5,,9,9,9,,,9,9,9,9,9,9,9,5,9,,,5,5,5,5,5,5,5,1,5,5,9,5,9,5,5,5,5,5,5,9,,,
5,4,5,0,1,1,0,1,5,9,5,9,9,4,4,5,3,4,9,2,3,5,4,9,9,4,3,4,4,9,9,3,,,9,9,9,3,9,9,4,2,9,9,3,,,3,4,,,9,3,4,4,5,,,,,,9,,4,,4,,,,,4,4
1,5,4,0,0,1,0,0,3,9,9,3,9,,1,9,1,1,9,1,4,2,4,1,4,4,5,1,4,9,4,4,,,9,9,9,9,9,9,9,9,3,9,9,,,3,3,,,3,3,2,1,1,,,,,,2,,5,,5,,,,,4,3
5,5,4,,1,1,0,0,,2,9,9,9,5,5,5,9,3,5,5,5,5,5,9,5,5,9,9,9,9,9,9,5,5,9,9,,5,5,5,5,9,9,5,5,9,9,,3,9,9,4,4,9,9,5,1,4,5,5,5,9,9,5,5,5,5,9,9,5,5,
5,5,3,,0,1,1,1,,5,9,9,9,9,9,9,9,5,9,9,4,5,5,9,3,4,9,9,,9,9,9,,4,9,9,,,9,9,9,9,9,9,9,9,9,,,5,9,5,5,9,5,5,0,,,,9,9,9,5,5,5,9,5,9,,,
4,4,5,1,1,1,0,1,,4,9,5,5,9,4,9,9,4,9,5,4,4,5,5,4,5,4,4,5,4,4,4,,,9,9,9,9,4,4,4,9,9,9,5,,,4,4,,,4,4,4,4,5,,,,,,4,,4,,4,,,,,4,4
3,5,3,0,0,1,0,1,5,4,9,4,9,9,4,9,9,9,9,5,4,4,9,9,4,4,4,4,4,9,9,4,,,9,9,9,4,9,9,9,9,9,9,9,,,2,4,,,4,4,4,4,3,,,,,,9,,3,,3,,,,,9,4
4,4,4,0,0,1,0,0,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,9,9,9,9,4,4,4,4,4,4,4,,,4,4,,,4,4,4,4,4,,,,,,4,,9,,9,,,,,9,9
3,5,5,1,1,1,1,1,3,,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3,2,2,4,2,2,5,,,9,9,2,1,,,,,,,,,,4,4,,,2,4,4,3,,,,,,,3,,3,,3,,,,,,3
5,5,2,,1,0,0,0,,3,9,9,9,4,9,9,4,9,9,2,9,3,4,9,,4,9,2,9,9,9,3,,9,9,9,,,3,9,9,,3,9,3,4,3,,,9,4,4,4,9,4,4,0,,,,9,9,9,3,4,3,1,3,3,,,
3,5,3,,1,1,1,0,,1,2,9,9,9,9,9,3,9,4,4,4,3,3,3,3,1,9,9,9,9,9,9,,9,9,9,,,9,3,9,9,9,9,3,9,9,,,5,,4,4,9,4,4,0,,,,9,9,9,5,4,4,1,4,2,,,
4,5,3,,1,1,1,1,,4,9,9,9,9,4,9,4,4,9,4,4,4,4,4,4,4,9,9,9,9,9,9,,4,9,9,,,9,9,9,9,9,9,9,9,9,,,4,4,4,9,9,4,4,1,4,4,4,9,9,9,4,4,4,4,4,9,,,
5,4,4,,1,0,0,0,,4,9,9,9,9,4,9,4,9,4,4,9,4,3,9,4,4,9,9,9,9,9,9,,9,9,9,,,9,9,9,,9,9,9,9,9,,,4,4,3,9,4,5,4,1,4,5,4,9,9,9,4,4,4,3,2,4,,,
4,5,3,0,0,1,0,1,4,9,4,9,9,9,9,9,9,4,9,5,4,4,4,9,9,4,4,4,4,9,9,4,,,9,9,3,4,9,9,9,9,9,9,9,,,5,5,,,5,5,5,5,4,,,,,,9,,2,,2,,,,,9,5
5,4,2,1,1,1,0,1,5,,9,9,5,9,9,9,5,3,4,9,5,5,4,9,4,4,5,5,5,9,5,5,,,3,9,9,4,,,,,,,,,,5,5,,,5,5,4,4,5,,,,,,9,,4,,4,,,,,,5
2,5,5,0,1,1,0,1,,2,9,5,9,9,5,9,5,9,9,5,9,3,5,9,4,4,9,5,9,9,9,9,,,9,9,9,9,9,9,9,9,9,9,9,,,4,4,,,4,4,3,2,4,,,,,,9,,1,,2,,,,,9,9
5,4,5,1,1,1,0,1,5,,5,5,9,9,,5,9,5,5,5,5,5,3,4,,4,5,5,5,9,4,5,,,5,9,5,5,,,,,,,,,,5,5,,,5,5,5,9,4,,,,,,9,,2,,3,,,,,,5
4,5,3,,1,1,0,0,,4,4,9,5,5,5,5,5,4,4,5,4,,4,4,4,4,9,9,9,9,9,9,,5,9,9,,,9,9,9,9,4,9,4,4,9,,,5,5,5,4,5,5,5,1,4,4,4,4,9,9,5,5,5,4,3,2,,,
1,5,4,,1,1,0,1,,1,2,9,2,3,,9,9,9,9,4,5,4,3,9,9,2,9,9,1,9,4,3,,5,5,9,,,9,9,9,5,9,9,5,9,9,,,4,2,2,3,4,4,4,1,2,5,3,9,9,9,3,4,4,5,5,5,,,
3,5,4,,1,0,0,1,,2,3,3,9,9,2,9,9,4,9,4,9,3,3,3,9,3,9,9,9,9,9,9,,5,9,9,,,9,9,9,5,9,9,5,5,4,,,4,3,2,2,9,2,4,0,,,,9,,3,4,5,4,9,4,5,,,
9,9,5,0,0,1,1,1,5,,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,,,5,5,5,5,,,,,,,,,,5,5,,,5,5,5,5,5,,,,,,5,,5,,5,,,,,,5
4,4,3,,1,0,0,0,,9,4,9,9,4,4,4,3,9,4,4,9,4,5,9,9,4,9,9,9,,9,9,,9,9,9,,,9,9,9,9,9,9,9,5,9,,,5,5,4,4,9,4,5,0,,,,9,9,9,5,,5,4,4,5,,,
3,4,4,0,1,1,1,1,4,,3,9,9,9,3,9,9,3,9,3,9,2,3,3,3,3,3,9,2,1,3,3,,,2,3,9,9,,,,,,,,,,4,4,,,4,4,4,4,3,,,,,,9,,2,,2,,,,,,3
3,5,3,1,0,1,0,0,5,,3,5,3,4,4,4,2,3,4,2,5,5,5,5,5,5,5,4,5,5,5,5,,,4,4,5,5,,,,,,,,,,4,5,,,4,5,5,5,5,,,,,,5,,5,,4,,,,,,5
3,5,4,,1,1,1,0,,4,9,9,9,3,2,5,9,9,9,2,3,3,2,9,3,3,9,9,9,9,9,,,9,9,9,,9,9,9,9,9,9,9,9,9,3,,3,3,4,4,3,9,2,2,0,,,,9,9,9,4,4,4,9,2,9,2,2,
3,3,3,1,1,0,0,0,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,3,3,3,3,,,,,,,,,,3,3,,,3,3,3,3,3,,,,,,3,,3,,3,,,,,,3
3,4,4,1,0,1,0,0,2,,9,9,2,3,3,9,,3,9,3,9,3,2,9,9,3,3,3,3,9,2,3,,,2,2,3,2,,,,,,,,,,2,4,,,5,4,2,1,2,,,,,,9,,2,,2,,,,,,3
1,5,5,,1,1,0,0,,1,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3,3,9,9,9,9,,9,,3,9,9,,,9,9,9,9,9,9,9,9,9,,,4,5,3,9,9,3,5,1,5,5,4,9,9,9,5,5,5,3,9,9,,,
4,5,3,,0,1,0,0,,4,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,5,5,4,9,9,4,4,,3,9,9,,,9,9,9,9,9,9,9,9,9,,,5,9,5,9,5,5,5,0,,,,9,9,9,5,5,5,5,5,9,,,
5,5,2,,1,0,0,0,,5,5,,,,,,,,,,,5,4,9,5,5,9,9,9,9,9,9,,9,9,9,,,9,,9,9,9,9,9,9,9,,,,,,9,9,5,5,0,,,,9,9,9,5,5,5,2,5,9,,,
3,4,5,,1,1,1,1,,1,9,9,9,9,5,9,4,2,5,5,5,3,9,9,9,9,9,9,9,9,9,9,9,4,9,9,,4,4,4,4,5,9,9,4,9,9,,9,5,5,5,5,9,9,3,0,,,,9,9,9,4,9,4,5,5,9,9,5,
5,4,4,0,1,0,1,1,5,,9,4,9,9,4,9,9,4,9,4,5,,4,9,4,3,4,4,3,9,5,4,,,9,9,4,4,,,,,,,,,,5,5,,,4,4,3,3,4,,,,,,9,,2,,3,,,,,,4
5,5,3,,1,1,0,0,,3,5,5,9,9,9,5,5,9,5,9,9,5,3,9,9,4,5,5,5,9,4,5,4,9,9,9,,4,,9,9,,5,9,5,4,9,,9,5,3,4,4,4,3,3,0,,,,9,9,9,5,5,5,3,9,9,4,5,
4,4,3,,1,0,0,0,,2,9,9,5,9,9,5,9,9,9,9,9,4,5,9,,4,9,9,,9,9,9,,9,9,9,,,9,9,9,9,,9,9,5,9,,,5,5,5,5,9,9,5,0,,,,9,9,9,5,5,9,5,5,2,,,
4,5,3,0,0,1,1,1,2,,9,5,9,9,1,9,5,3,3,1,5,,4,9,2,3,3,3,2,,5,4,,,5,9,5,4,,,,,,,,,,2,3,,,1,2,4,1,5,,,,,,9,,5,,5,,,,,,5
5,5,3,,1,1,0,0,,2,9,9,9,5,9,9,9,5,9,5,5,5,9,9,9,4,5,5,9,9,9,4,5,5,9,,,5,9,9,9,9,9,9,9,9,9,,3,9,9,9,3,1,3,9,0,,,,9,9,9,5,5,5,9,1,9,5,5,
5,5,3,,1,1,0,0,,5,5,9,9,5,4,9,9,5,9,5,2,4,4,9,4,5,9,9,9,9,9,9,,4,9,9,,,9,9,9,9,9,9,9,9,9,,,9,2,1,3,9,1,1,1,5,5,3,9,9,9,3,4,3,2,4,5,,,
5,4,3,0,1,1,0,0,5,5,9,9,9,9,5,9,5,4,4,5,5,5,4,4,4,4,4,4,5,9,4,5,,,9,9,5,4,9,9,9,9,9,9,9,,,5,4,,,5,4,4,4,4,,,,,,9,,4,,4,,,,,5,5
4,5,5,,1,1,0,1,,3,,,,4,,4,,,,,,5,5,5,,4,4,,4,,,4,,4,,,,,,,,,,,,,,,,4,4,,,,5,5,0,,,,,,,4,,3,4,4,,,,
5,5,4,,0,1,1,1,,4,5,9,5,9,4,9,4,2,3,4,4,5,2,3,3,3,9,9,9,9,9,9,,5,9,9,,,9,9,9,9,9,9,9,9,9,,,4,3,4,4,9,3,4,1,5,5,4,9,9,9,4,,4,4,5,9,,,
9,3,2,1,1,0,0,0,4,,9,9,9,9,9,9,9,9,9,2,4,9,9,9,3,3,9,9,9,9,9,3,,,9,9,,9,,,,,,,,,,9,3,,,3,4,4,3,9,,,,,,9,,2,,3,,,,,,9
4,1,4,0,,,,,4,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,3,,1,1,1,1,,5,9,9,9,9,5,9,9,9,,4,9,5,4,9,4,4,9,9,9,9,9,3,,5,9,9,,,9,9,9,9,9,9,9,5,9,,,5,5,4,4,3,3,4,1,5,5,5,9,9,9,5,5,5,9,5,9,,,
4,5,4,1,1,1,0,0,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,,,4,4,4,5,,,,,,,,,,4,4,,,4,4,5,5,5,,,,,,,,4,,5,,,,,,5
4,5,3,1,1,1,0,1,5,,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,5,3,5,5,4,,,5,5,5,5,,,,,,,,,,5,5,,,5,5,5,5,5,,,,,,9,,3,,3,,,,,,4
5,2,2,1,0,1,0,1,5,,9,9,9,4,9,9,9,9,9,5,5,5,5,5,5,5,4,5,4,9,9,5,,,5,5,5,5,,,,,,,,,,4,4,,,5,5,5,5,4,,,,,,5,,4,,4,,,,,,5
2,4,3,1,1,1,0,1,4,,3,3,3,3,,3,1,1,1,1,9,2,1,1,1,1,1,1,9,5,9,1,,,3,3,3,1,,,,,,,,,,4,4,,,4,4,1,9,3,,,,,,,,,,,,,,,,
5,5,5,,1,1,0,0,,5,5,9,5,5,5,9,9,4,9,4,5,5,5,9,5,5,9,9,9,9,9,9,,5,9,9,,,9,9,5,9,5,9,5,9,9,,,5,4,5,5,9,5,5,1,5,5,5,9,9,9,5,5,5,3,4,9,,,
5,2,3,1,0,1,0,1,4,,9,9,9,9,4,5,9,9,9,4,9,4,4,9,4,4,3,9,4,9,9,4,,,2,3,9,2,,,,,,,,,,3,3,,,3,3,3,3,9,,,,,,9,,2,,2,,,,,,1
3,5,4,0,1,0,1,1,4,4,9,9,5,4,4,9,9,4,9,5,4,4,4,9,4,4,3,5,3,9,9,3,,,9,9,4,4,9,9,9,9,9,9,9,,,4,4,,,4,4,5,4,4,,,,,,9,,2,,2,,,,,3,3
5,5,3,1,1,1,0,1,5,,9,5,9,9,9,5,9,4,9,5,5,5,5,9,5,5,5,5,5,9,9,5,,,5,9,5,5,,,,,,,,,,4,5,,,5,5,3,9,9,,,,,,9,,4,,4,,,,,,5
4,4,4,,1,0,0,0,,4,4,9,9,4,9,9,9,9,9,9,9,4,4,9,9,4,9,9,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,9,9,,,4,4,4,4,4,4,4,,,,,9,9,9,4,4,4,4,9,4,,,
2,4,1,,1,1,0,1,,2,9,2,9,2,9,1,9,9,9,5,3,2,3,9,9,2,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,,9,1,1,1,1,9,3,4,0,,,,9,9,9,3,3,3,1,9,9,9,1,
3,4,3,,1,0,1,1,,3,9,9,9,4,3,9,4,9,4,3,3,3,4,9,3,4,9,9,9,3,9,4,3,4,1,9,,3,9,9,9,9,9,9,9,9,9,,3,4,3,2,3,9,3,4,0,,,,9,9,2,2,4,3,4,4,9,,,
5,5,5,,1,1,1,1,,5,9,9,9,9,5,5,5,5,9,5,3,5,,5,5,5,9,9,9,9,9,9,5,9,9,9,,4,9,9,9,9,9,9,9,9,9,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,9,5,5,5,5,9,9,9,5,
5,5,3,1,0,1,0,0,5,,3,5,3,3,4,4,3,5,4,5,5,4,5,4,5,4,3,5,4,3,4,4,,,4,4,4,3,,,,,,,,,,5,5,,,4,5,4,2,4,,,,,,4,,4,,5,,,,,,5
4,4,3,,1,1,0,0,,3,9,9,9,9,9,9,9,9,9,9,9,4,4,9,4,3,4,4,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,9,3,,,5,5,5,4,9,3,4,0,,,,9,9,9,5,5,5,9,5,9,,,
4,4,3,0,1,1,0,1,4,,4,9,9,4,3,9,9,9,9,5,4,4,9,9,4,4,4,3,2,9,9,9,,,9,9,9,3,,,,,,,,,,3,4,,,4,3,4,4,1,,,,,,9,,3,,3,,,,,,9
4,5,4,,1,1,0,1,,5,4,9,5,9,4,9,9,9,9,5,4,5,5,9,4,5,9,9,9,9,9,9,5,9,2,2,,3,9,9,9,9,9,9,9,4,9,,2,9,1,3,3,3,2,4,0,,,,9,3,9,4,5,4,3,3,9,5,5,
1,5,4,1,0,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,3,0,0,1,1,1,2,,9,9,9,9,5,9,5,5,5,5,5,5,9,9,9,9,5,5,5,5,5,5,,,9,9,9,5,,,,,,,,,,5,1,,,5,3,1,4,4,,,,,,9,,2,,2,,,,,,4
5,5,4,0,1,1,1,1,9,5,9,9,9,5,4,9,9,4,9,5,5,5,5,4,9,5,5,5,2,9,9,3,,,5,9,9,4,9,9,9,9,9,9,9,,,4,4,,,4,4,2,2,5,,,,,,9,,4,,4,,,,,5,4
5,4,3,,1,1,0,1,,9,9,9,9,9,9,9,9,5,9,4,9,4,3,9,9,4,9,9,9,9,9,9,3,2,9,9,,4,9,9,9,9,9,9,9,9,9,,9,4,4,3,4,9,2,4,0,,,,9,9,9,4,9,4,4,9,9,9,4,
2,3,4,,1,0,0,0,,3,2,9,9,3,2,9,9,9,9,9,9,1,4,9,3,4,2,4,1,9,2,1,,9,9,9,,,9,9,9,9,9,9,,9,9,,,5,5,5,5,5,5,5,0,,,,9,9,9,4,5,4,9,5,9,,,
4,5,5,,0,1,0,1,,4,9,9,4,5,5,9,5,9,5,5,5,4,3,4,4,4,9,9,9,9,9,9,,5,9,9,,,9,9,9,9,9,9,9,9,9,,,4,,4,3,9,5,2,1,5,4,2,3,9,9,1,5,3,5,5,9,,,
4,5,3,,1,0,0,0,,5,9,9,9,9,9,9,9,5,9,4,4,4,5,9,9,5,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,,9,5,4,4,9,9,9,4,0,,,,9,9,4,5,5,5,5,5,9,9,4,
3,2,4,0,0,1,1,1,5,,1,1,1,1,1,1,1,2,1,3,1,2,3,3,3,3,3,3,3,3,3,3,,,3,3,3,3,,,,,,,,,,3,5,,,5,4,5,2,3,,,,,,3,,1,,1,,,,,,2
5,4,4,0,1,1,0,0,9,9,9,9,4,4,5,9,9,5,9,5,5,5,4,5,5,5,5,5,4,5,4,5,,,9,9,5,9,9,9,9,9,9,9,5,,,4,4,,,4,4,4,5,5,,,,,,9,,4,,4,,,,,5,5
5,3,3,,1,0,0,0,,4,5,9,5,9,9,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9,9,9,3,9,9,9,,3,9,9,9,9,9,9,9,5,9,,3,5,9,4,4,5,5,9,0,,,,9,9,9,5,5,5,9,2,9,4,9,
5,5,4,,1,0,0,1,,3,4,9,9,4,9,4,5,9,5,5,9,4,4,9,4,4,4,4,4,9,9,4,,9,9,9,,,9,9,9,9,9,9,9,4,4,,,4,9,5,4,4,9,4,1,3,4,4,9,9,9,4,5,4,4,4,4,,,
4,5,5,,1,1,0,0,,4,5,9,9,9,5,9,3,3,4,3,5,4,5,4,5,4,9,9,9,9,9,9,5,9,5,9,,4,9,9,9,9,9,9,9,9,9,,4,4,9,1,3,4,4,3,0,,,,9,9,9,5,9,5,9,5,9,3,3,
4,5,4,0,1,1,0,1,3,,4,9,9,4,9,9,9,9,9,4,3,4,4,9,4,4,4,4,5,4,9,4,,,9,9,9,9,,,,,,,,,,5,4,,,4,4,4,4,4,,,,,,9,,4,,4,,,,,,5
5,5,3,,1,0,1,1,,5,4,9,9,4,9,9,5,9,9,9,9,5,4,9,5,4,9,9,9,9,9,3,,9,9,9,,,9,9,9,9,9,9,9,4,,,,5,4,5,4,9,4,5,0,,,,9,9,9,5,5,5,3,3,3,,,
5,3,3,0,0,1,0,1,5,,9,9,9,9,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,9,5,5,,,9,9,9,9,,,,,,,,,,5,5,,,5,5,4,4,4,,,,,,9,,3,,3,,,,,,5
3,5,3,,0,1,0,0,,4,,4,,4,4,4,5,5,9,5,5,4,5,9,5,5,9,9,9,9,9,,9,9,9,9,,9,,,,,,,9,9,9,,5,5,9,5,5,5,5,5,1,3,4,4,9,9,9,5,4,4,5,9,5,9,9,
4,5,4,,1,1,1,1,,4,4,4,9,9,4,9,,,4,4,4,5,4,9,9,4,9,9,9,9,9,9,,5,9,9,,,9,9,9,9,9,9,9,4,9,,,4,4,4,4,9,4,4,1,9,5,9,9,9,9,5,5,5,5,5,9,,,
3,3,3,0,0,1,0,0,4,9,9,9,9,,4,9,4,9,9,4,4,4,4,4,4,4,4,,5,,5,4,,,3,3,4,4,9,9,9,9,9,9,9,,,4,,,,4,4,4,4,4,,,,,,4,,4,,4,,,,,4,4
3,4,4,0,0,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,4
4,5,5,,1,1,0,1,,4,4,9,5,9,5,9,5,5,9,5,5,4,4,9,9,4,9,9,9,9,9,9,,9,4,9,,,9,9,9,9,4,9,5,9,9,,,5,9,3,4,5,5,5,1,5,5,5,9,9,4,5,5,5,5,5,5,,,
4,5,3,,1,0,0,1,,3,5,9,9,9,4,9,9,9,9,5,9,4,4,9,4,4,9,9,4,9,9,4,,5,9,9,,,9,9,9,9,9,9,9,4,9,,,4,4,4,4,9,3,3,1,4,5,4,9,9,9,9,9,9,9,2,9,,,
4,4,4,,1,1,1,1,,2,9,9,9,3,4,9,3,4,9,5,4,4,3,9,3,3,9,9,9,9,9,9,3,9,9,9,,3,9,9,9,9,9,9,9,4,9,,3,3,9,4,4,5,5,4,1,4,4,9,9,9,3,5,4,4,4,4,9,4,4,
4,5,2,1,0,1,0,1,5,,9,9,9,9,9,9,9,5,9,5,4,5,4,9,3,9,9,5,4,9,9,,,,4,4,9,9,,,,,,,,,,5,5,,,5,5,5,5,5,,,,,,9,,3,,3,,,,,,9
5,5,4,,1,1,0,1,,5,,5,5,5,,9,5,4,3,5,5,5,4,9,9,4,9,9,9,9,,9,9,4,,4,,4,9,5,9,9,9,9,9,,9,,5,5,9,5,5,5,5,5,0,,,,,9,9,,,,,,,,,
5,5,4,,1,1,0,1,,5,9,9,9,9,9,9,9,9,9,9,9,5,5,9,5,5,9,9,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,9,9,,,5,9,5,5,9,5,5,1,5,5,5,9,9,9,5,5,5,5,5,9,,,
4,5,3,,1,1,0,1,,2,9,9,9,9,9,9,9,5,9,5,5,5,5,9,9,5,9,9,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,9,9,,,5,9,5,5,9,5,5,0,,,,9,9,9,3,3,3,5,5,9,,,
5,5,2,1,1,1,0,1,5,,9,9,9,9,9,9,9,5,9,5,9,5,5,5,5,5,5,5,5,9,9,5,,,9,9,5,4,,,,,,,,,,5,5,,,5,5,5,5,9,,,,,,5,,5,,5,,,,,,5
5,5,3,,0,1,0,0,,4,9,5,9,9,4,5,9,9,5,9,9,5,9,9,9,9,9,9,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,4,9,,,5,3,5,4,9,5,5,0,,,,9,9,9,5,9,5,5,5,9,,,
5,5,3,,1,1,0,1,,4,5,,,,,,,,,,,5,5,9,9,5,9,9,9,9,9,9,,9,9,9,,,9,9,9,9,9,9,9,4,4,,,4,4,4,4,3,3,5,1,9,9,9,9,9,9,9,9,9,9,9,9,,,
5,3,3,,0,1,1,0,,5,9,9,9,9,5,9,5,5,9,5,9,5,4,9,9,4,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,9,9,9,9,,9,9,9,9,9,9,3,4,0,,,,9,9,9,4,9,4,9,9,9,9,5,
3,5,4,9,0,1,0,0,2,2,9,9,3,3,3,9,4,3,9,4,4,3,3,9,3,3,3,2,9,3,9,3,,,9,9,9,3,9,9,9,9,3,9,3,,,2,1,,,1,1,2,2,2,,,,,,2,,4,,4,,,,,3,2
3,5,3,,1,1,1,1,,3,9,9,9,9,3,4,9,9,9,9,5,3,1,2,2,3,9,9,9,9,9,9,,3,9,9,,,9,9,9,9,9,9,9,9,9,,,9,9,3,2,3,3,3,0,,,,9,9,1,4,4,5,9,4,9,,,
4,4,3,1,0,1,0,1,4,,9,4,9,9,9,4,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,,,9,9,9,9,,,,,,,,,,4,4,,,4,4,4,4,4,,,,,,4,,4,,4,,,,,,4
